subtotal,order_date_dt,order_total_revenue,zip_code,unique_customer_id
40,2024-01-12,22.4,79924,198
40,2024-01-12,22.4,79924,199
150,2024-01-11,80,22301,204
150,2024-01-09,50,28401,205
150,2024-01-09,50,28401,205
150,2024-01-09,50,28401,205
300,2024-01-08,100,,206
80,2024-01-08,44.8,,7
80,2024-01-08,44.8,,7
80,2024-01-08,44.8,,7
80,2024-01-08,44.8,,7
40,2024-01-08,28,,154
40,2024-01-08,28,,154
40,2024-01-08,28,,154
40,2024-01-08,28,,154
150,2024-01-08,50,,207
150,2024-01-08,50,,207
150,2024-01-08,50,,44
150,2024-01-08,50,86426,45
190,2024-01-08,78,76078,208
40,2024-01-07,22.4,80916,196
310,2024-01-06,162,44203,106
150,2024-01-06,50,90803,117
150,2024-01-06,50,90803,117
150,2024-01-06,50,90803,117
150,2024-01-06,50,90803,117
150,2024-01-06,50,90803,117
150,2024-01-06,50,90803,117
150,2024-01-06,50,90803,117
150,2024-01-06,50,90803,117
150,2024-01-06,50,90803,117
150,2024-01-06,50,90803,117
190,2024-01-04,78,80205,209
40,2024-01-03,24,97358,55
120,2024-01-03,67.2,,210
120,2024-01-03,67.2,,211
150,2024-01-03,50,,212
40,2024-01-02,24,89122,4
190,2024-01-02,78,28401,205
190,2024-01-02,78,28401,205
190,2024-01-02,78,28401,205
150,2024-01-02,50,80233,213
300,2024-01-02,100,80219,111
300,2024-01-02,100,80219,111
300,2024-01-02,100,80219,111
150,2024-01-02,50,80621,214
300,2024-01-01,100,97358,55
150,2024-01-01,50,92704,215
150,2024-01-01,50,44116,94
150,2024-01-01,50,44116,94
150,2024-01-01,50,44116,94
150,2024-01-01,50,,73
150,2024-01-01,50,93555,74
150,2024-01-01,50,93555,74
150,2024-01-01,50,,216
150,2024-01-01,50,,216
150,2024-01-01,50,,216
150,2024-01-01,50,,216
150,2024-01-01,50,89143,217
150,2023-12-29,100,85746,10
40,2023-12-28,28,,218
75,2023-12-27,50,90803,117
75,2023-12-27,50,90803,117
75,2023-12-27,50,90803,117
75,2023-12-27,50,90803,117
75,2023-12-27,50,90803,117
80,2023-12-26,80,,219
80,2023-12-26,80,,219
40,2023-12-23,28,,220
225,2023-12-22,201,44116,94
225,2023-12-22,201,44116,94
225,2023-12-22,201,44116,94
80,2023-12-22,44.8,,7
80,2023-12-22,44.8,,7
80,2023-12-22,44.8,,7
80,2023-12-22,44.8,,7
40,2023-12-20,28,,221
75,2023-12-19,40,,222
75,2023-12-19,40,,222
75,2023-12-19,40,70453,223
40,2023-12-18,22.4,,224
75,2023-12-18,40,20019,225
75,2023-12-17,50,,226
75,2023-12-17,40,75071,227
80,2023-12-15,70,,228
150,2023-12-13,75,,229
150,2023-12-13,75,,229
150,2023-12-13,75,17190,230
80,2023-12-12,32,60605,231
140,2023-12-12,92,81657,5
40,2023-12-11,28,,181
40,2023-12-11,28,,181
40,2023-12-11,28,,7
40,2023-12-11,28,,7
40,2023-12-11,28,,7
40,2023-12-11,28,,7
150,2023-12-11,100,,128
